T(K),a,da/dT
306.0776933,0,
318.3762133,0,0
334.4743867,8.20022E-05,5.09388E-06
346.3085067,0.000655375,4.84508E-05
357.9310667,0.001156062,4.30789E-05
372.32456,0.002122076,6.71146E-05
380.8586133,0.003010138,0.000104061
395.7585733,0.005256338,0.000150752
406.75912,0.007499651,0.000203927
414.8115733,0.009434184,0.000240241
424.69396,0.012097241,0.000269475
439.4295867,0.016499255,0.000298733
449.5684133,0.019684659,0.000314179
456.9689867,0.022014538,0.000314824
467.1692667,0.025138628,0.000306275
477.59096,0.028114447,0.000285541
484.9652667,0.030023811,0.000258921
493.68212,0.032012645,0.00022816
503.4398933,0.033833397,0.000186595
511.1486667,0.034933719,0.000142736
615.82,0.035659159,6.93065E-06
625.4502667,0.039791883,0.000429139
627.5377333,0.040993871,0.000575812
630.5041333,0.042915423,0.000647772
632.6465333,0.044468822,0.000725074
634.2945333,0.045763652,0.000785698
636.9313333,0.04802564,0.000857853
639.3484,0.05031592,0.000947545
640.8316,0.051829235,0.001020304
642.3148,0.053428,0.001077916
645.3361333,0.056960962,0.001169339
648.1377333,0.06058595,0.001293899
650.1153333,0.063358303,0.001401878
651.4337333,0.065308911,0.001479526
654.0705333,0.069465858,0.001576512
656.7622667,0.074076968,0.001713063
658.6849333,0.089268986,0.007901535
660.7174667,0.112989664,0.011670499
663.0246667,0.139046835,0.01129385
664.9473333,0.160071976,0.010935406
667.8588,0.190749722,0.01053687
670.166,0.214094958,0.010118428
671.5942667,0.228130032,0.009826648
673.3521333,0.244975928,0.009583147
676.3185333,0.272358396,0.009230875
679.0652,0.296577274,0.008817553
680.3836,0.307825614,0.008531811
682.8556,0.328275202,0.008272487
685.0529333,0.345768001,0.007960922
686.8657333,0.359727591,0.007700568
689.8321333,0.381677124,0.007399384
691.6449333,0.394560062,0.007106652
693.6225333,0.408168399,0.006881238
695.4353333,0.420244058,0.00666133
697.4678667,0.433341601,0.00644395
700.2694667,0.450651932,0.00617873
701.9724,0.460765403,0.005938853
704.2796,0.473990074,0.005731914
706.7516,0.487567879,0.00549264
708.5644,0.497147991,0.005284704
711.2012,0.510531892,0.005075812
712.9590667,0.51910258,0.004875619
714.4422667,0.526121347,0.004732178
717.0241333,0.537887933,0.004557395
719.2764,0.547698891,0.004356037
720.9244,0.554618609,0.004198858
723.8908,0.566541688,0.004019376
726.4177333,0.576178282,0.003813553
727.9009333,0.581619826,0.003668786
730.1532,0.589589293,0.003538421
733.5041333,0.600815975,0.003350315
735.1521333,0.606071689,0.003189147
736.5804,0.610490058,0.003093518
739.1622667,0.618165547,0.002972845
740.8102667,0.622861833,0.002849688
742.9526667,0.628739315,0.002743411
746.2486667,0.63729996,0.002597283
747.7318667,0.6409697,0.002474204
749.27,0.644660308,0.002399407
752.7308,0.652553119,0.002280632
754.5985333,0.656586534,0.002159524
755.9169333,0.65934228,0.00209022
758.7185333,0.664957063,0.002004134
760.2566667,0.667905507,0.001916898
762.454,0.671959924,0.001845153
766.0796,0.678264912,0.001739019
767.5628,0.680713289,0.00165074
768.222,0.681778084,0.001615283
769.1009333,0.683175943,0.001590404
771.1334667,0.686315355,0.001544581
772.3969333,0.688203432,0.001494362
774.7041333,0.691531148,0.001442318
776.6268,0.694190853,0.001383342
