T(K),a,da/dT
295.48,0,0
300.32,0,0
304.98,0,0
309.82,0,0
314.48,0,0
319.32,0,0
324.15,0,6.61E-10
352.65,0.001733802,3.79E-05
357.32,0.001733802,2.33E-05
362.15,0.001733802,1.27E-05
366.98,0.001733802,2.46E-06
371.65,0.001733802,0
376.48,0.001733802,0
381.15,0.001733802,0
385.98,0.001733802,0
390.65,0.001733802,0
395.48,0.001733802,0
400.32,0.001733802,0
404.98,0.001733802,0
409.82,0.001733802,0
414.48,0.001733802,0
443.15,0.003466495,3.75E-05
447.82,0.003466495,2.32E-05
452.65,0.003466495,1.26E-05
457.32,0.003466495,2.72E-06
462.15,0.003466495,0
466.82,0.003466495,0
471.65,0.003466495,0
476.48,0.003466495,0
481.15,0.003466495,0
485.98,0.003466495,0
490.65,0.003466495,0
495.48,0.003466495,0
500.15,0.003466495,0
504.98,0.003466495,0
509.65,0.003466495,3.25E-06
519.32,0.003466495,7.72E-05
523.98,0.005199187,0.000141247
528.82,0.005199187,0.000211717
533.48,0.00693299,0.000295229
538.32,0.008665682,0.000353649
542.98,0.010399485,0.000361832
547.82,0.012132177,0.000384473
552.65,0.01386487,0.000449569
557.32,0.015598672,0.000535722
562.15,0.019064057,0.000732141
566.82,0.025997047,0.000935762
571.65,0.032928927,0.00109422
576.32,0.039861917,0.001266746
581.15,0.046793797,0.001413497
585.82,0.053726787,0.001461275
590.65,0.058925975,0.001459476
595.48,0.065857855,0.001460177
600.15,0.072790845,0.001461832
604.98,0.079722725,0.001463686
609.65,0.086655715,0.001464006
614.48,0.091854902,0.001464879
619.15,0.098786782,0.001413265
623.98,0.105719772,0.001349698
628.82,0.112651652,0.001243206
633.48,0.11785084,0.001090795
638.32,0.12478383,0.000922405
642.98,0.128250325,0.00074414
647.82,0.129983017,0.000583808
652.48,0.13171571,0.000491825
657.32,0.133449512,0.000403634
661.98,0.135182205,0.000411973
666.82,0.136914897,0.000555351
671.65,0.1386487,0.00071309
676.32,0.140381392,0.000874164
681.15,0.14558058,0.0010404
685.82,0.15251357,0.00120596
690.65,0.161179252,0.001375142
695.32,0.168111132,0.001534193
700.15,0.176776815,0.001650677
704.98,0.185442497,0.001746588
709.65,0.192374377,0.001875509
714.48,0.201040059,0.002069688
719.15,0.213172237,0.002808572
723.98,0.235702789,0.003605848
728.65,0.258232232,0.004320638
733.48,0.280762784,0.004832551
738.15,0.305026029,0.004817141
742.98,0.327556582,0.004782592
747.82,0.344887947,0.00476662
752.48,0.374350379,0.004728317
757.32,0.396880932,0.004692838
761.98,0.419411484,0.00465572
766.82,0.441940926,0.004445475
771.48,0.461006094,0.004224587
776.32,0.480070151,0.003978639
781.15,0.497400406,0.00389841
785.82,0.516464464,0.003874105
