time,time (min),w,T(°C),T(K),a,da/dT
0:07:30,7.5,91.1259,105,378.15,0,
0:07:44,7.73,91.1259,107.33,380.48,0,0
0:07:58,7.97,91.1259,109.67,382.82,0,0
0:08:12,8.2,91.1259,112,385.15,0,0
0:08:26,8.43,91.1259,114.33,387.48,0,0
0:08:40,8.67,91.1259,116.67,389.82,0,0
0:08:54,8.9,91.1259,119,392.15,0,0
0:09:08,9.13,91.1259,121.33,394.48,0,0
0:09:23,9.38,91.1259,123.83,396.98,0,0
0:09:37,9.62,91.1259,126.17,399.32,0,0
0:09:51,9.85,91.1259,128.5,401.65,0,0
0:10:05,10.08,91.1259,130.83,403.98,0,0
0:10:19,10.32,91.1259,133.17,406.32,0,0
0:10:33,10.55,91.1259,135.5,408.65,0,0
0:10:47,10.78,91.1259,137.83,410.98,0,0
0:11:01,11.02,91.1259,140.17,413.32,0,0
0:11:15,11.25,91.1259,142.5,415.65,0,0
0:11:29,11.48,91.1259,144.83,417.98,0,0
0:11:44,11.73,91.1259,147.33,420.48,0,0
0:11:58,11.97,91.1259,149.67,422.82,0,0
0:12:12,12.2,91.1259,152,425.15,0,0
0:12:26,12.43,91.1259,154.33,427.48,0,0
0:12:40,12.67,91.1259,156.67,429.82,0,0
0:12:54,12.9,91.1259,159,432.15,0,0
0:13:08,13.13,91.1259,161.33,434.48,0,0
0:13:22,13.37,91.1259,163.67,436.82,0,0
0:13:36,13.6,91.1259,166,439.15,0,0
0:13:50,13.83,91.1259,168.33,441.48,0,0
0:14:05,14.08,91.1259,170.83,443.98,0,0
0:14:19,14.32,91.1259,173.17,446.32,0,0
0:14:33,14.55,91.1259,175.5,448.65,0,0
0:14:47,14.78,91.1259,177.83,450.98,0,0
0:15:01,15.02,91.1259,180.17,453.32,0,0
0:15:15,15.25,91.1259,182.5,455.65,0,0
0:15:29,15.48,91.1259,184.83,457.98,0,0
0:15:43,15.72,91.1259,187.17,460.32,0,0
0:15:57,15.95,91.1259,189.5,462.65,0,0
0:16:11,16.18,91.1259,191.83,464.98,0,0
0:16:26,16.43,91.1259,194.33,467.48,0,0
0:16:40,16.67,91.1259,196.67,469.82,0,0
0:16:54,16.9,91.1259,199,472.15,0,0
0:17:08,17.13,91.1259,201.33,474.48,0,0
0:17:22,17.37,91.1259,203.67,476.82,0,0
0:17:36,17.6,91.1259,206,479.15,0,0
0:17:50,17.83,91.1259,208.33,481.48,0,0
0:18:04,18.07,91.1259,210.67,483.82,0,0
0:18:18,18.3,91.0038,213,486.15,0.00134033,0.000574427
0:18:33,18.55,91.0038,215.5,488.65,0.00134033,0
0:18:47,18.78,91.0038,217.83,490.98,0.00134033,0
0:19:01,19.02,90.8817,220.17,493.32,0.002680659,0.000574427
0:19:15,19.25,90.8817,222.5,495.65,0.002680659,0
