T(K),a,da/dT
296.666272,0,
296.7858667,0.000610328,0.005103307
297.0397873,0.001215009,0.002381378
297.450506,0.001843023,0.00152906
298.0293327,0.002479452,0.001099516
298.7869313,0.003131969,0.000861296
299.7117533,0.003797028,0.000719121
300.7843753,0.004497282,0.000652843
301.9848273,0.005229984,0.000610356
303.2941813,0.005986424,0.00057772
304.6758053,0.006786442,0.000579042
306.117518,0.007618088,0.000576846
307.5919607,0.008513953,0.000607595
309.0823127,0.0094335,0.000617
310.5657627,0.010392368,0.000646377
312.033154,0.011403165,0.000688839
313.4691267,0.012423166,0.00071032
314.8728413,0.013464628,0.000741933
316.2404407,0.014541996,0.000787781
317.5727193,0.015649537,0.000831313
318.8647693,0.016766303,0.000864337
320.1191453,0.017868678,0.000878824
321.3446707,0.018986058,0.000911755
322.5445947,0.020116898,0.000942427
323.721766,0.0212328,0.000947952
324.8868227,0.0223459,0.000955404
326.0375147,0.023451329,0.000960664
327.1852273,0.024552631,0.000959563
328.332198,0.025635844,0.000944412
329.4847047,0.026692966,0.000917238
330.6407747,0.027747364,0.000912053
331.80939,0.028790117,0.000892298
332.9873147,0.029808366,0.000864444
334.1801927,0.030821932,0.000849681
335.387104,0.031812023,0.000820351
336.6083487,0.032776473,0.000789727
337.838752,0.033748179,0.000789746
339.08381,0.034684185,0.000751778
340.3368433,0.035607289,0.000736695
341.598118,0.03652027,0.000723856
342.8688367,0.03738095,0.000677318
344.143488,0.038245843,0.000678533
345.42402,0.039078967,0.000650607
346.7046627,0.039906662,0.000646312
347.983016,0.040700792,0.000621214
349.265028,0.041473779,0.000602948
350.5444253,0.042220205,0.00058342
351.8209487,0.04295084,0.000572363
353.095206,0.043658973,0.000555723
354.3708127,0.04434465,0.00053753
355.636174,0.044986704,0.000507408
356.894968,0.045629383,0.000510551
358.1517273,0.046243563,0.000488702
359.4063593,0.046850772,0.000483974
360.6554133,0.047429407,0.000463258
361.905964,0.047984556,0.000443924
363.1544413,0.048529429,0.00043643
364.399304,0.049045816,0.000414814
365.642658,0.049543313,0.000400125
366.888196,0.050026834,0.000388203
368.1344567,0.050475007,0.000359614
369.3780013,0.050928663,0.000364809
370.6242387,0.051356787,0.000343533
371.8747713,0.051774974,0.000334407
373.122642,0.052154693,0.000304294
374.37244,0.052541679,0.000309639
375.6278067,0.052927625,0.000307437
376.8845133,0.05329048,0.000288735
378.1385733,0.053637751,0.000276917
379.3956867,0.053974209,0.000267643
380.6531333,0.054306278,0.000264082
381.9117533,0.054623289,0.000251872
383.1689,0.054925789,0.000240624
384.4299067,0.055224425,0.000236824
385.6880933,0.05550728,0.000224812
386.9475467,0.055782978,0.000218903
388.20522,0.056048235,0.000210911
389.4589267,0.056310778,0.000209414
390.71666,0.056547669,0.000188347
391.9728867,0.056795088,0.000196954
393.22944,0.057020805,0.000179632
394.4836333,0.057266834,0.000196165
395.7377,0.057470193,0.00016216
396.99172,0.057687352,0.00017317
398.2429333,0.057892943,0.000164314
399.49376,0.058096357,0.000162623
400.74226,0.058273855,0.000142169
401.9930733,0.058442675,0.000134968
403.2445933,0.058631019,0.000150492
404.4986333,0.058791697,0.000128128
405.7472867,0.058959226,0.000134167
407.0033667,0.059115876,0.000124714
408.2517933,0.059262513,0.000117457
409.5055867,0.059401544,0.000110888
410.75432,0.059535978,0.000107657
412.00454,0.05966656,0.000104447
413.2581,0.059790664,9.90008E-05
414.5103333,0.05989857,8.61712E-05
415.7620733,0.060028857,0.000104084
417.0127733,0.060133721,8.38443E-05
418.2651133,0.060238344,8.35423E-05
419.5189733,0.060339247,8.04734E-05
420.7732,0.060441528,8.15493E-05
