T(K),a,da/dT
303.15,0,
405.15,0,0
407.4833333,0,0
409.8166667,0,0
412.15,0,0
414.4833333,0,0
416.8166667,0,0
419.15,0,0
421.4833333,0,0
423.8166667,0,0
426.15,0,0
428.4833333,0,0
430.8166667,0,0
433.15,0,0
435.4833333,0,0
465.65,0,7.00E-06
467.9833333,0,1.70E-05
470.3166667,0,2.71E-05
472.65,0,5.03E-05
479.65,0.001592498,0.000162137
488.9833333,0.003186456,0.000303785
498.3166667,0.004778955,0.000448888
502.9833333,0.006372913,0.00052553
505.3166667,0.007965411,0.000553924
507.65,0.009559369,0.000580615
512.15,0.011153327,0.000660416
514.4833333,0.012745825,0.000705924
519.15,0.014339783,0.000788518
521.4833333,0.01672926,0.000827436
523.8166667,0.018323218,0.000865623
526.15,0.021509675,0.000904151
528.4833333,0.023899152,0.00094442
530.8166667,0.026288629,0.000983307
533.15,0.028679566,0.001022785
535.4833333,0.031069043,0.001054191
537.8166667,0.033458521,0.001086776
540.15,0.035849458,0.001123583
542.4833333,0.039035914,0.001162057
544.8166667,0.041425391,0.001198791
547.15,0.044611847,0.00123987
549.4833333,0.048595283,0.001310087
551.8166667,0.051781739,0.001360532
554.15,0.054969655,0.001365802
556.4833333,0.058156111,0.001365759
558.8166667,0.061342567,0.001365719
561.15,0.064529024,0.001365676
563.4833333,0.06771548,0.001365646
565.8166667,0.070901936,0.00136618
568.15,0.074088393,0.001368149
570.4833333,0.077274849,0.001370044
572.8166667,0.080462765,0.00137099
574.9833333,0.083649221,0.001371262
577.3166667,0.086835677,0.001371854
579.65,0.090022134,0.001312584
581.9833333,0.09320859,0.001252066
584.3166667,0.096395046,0.00120139
586.65,0.099581502,0.001124184
588.9833333,0.102767959,0.001053633
591.3166667,0.105158896,0.000986948
593.65,0.106751394,0.000921239
595.9833333,0.109142331,0.000855349
598.3166667,0.111531808,0.000788773
600.65,0.113125766,0.000721283
602.9833333,0.115515243,0.00060502
605.3166667,0.117904721,0.000728044
607.65,0.119498679,0.000851883
609.9833333,0.121888156,0.000976487
612.3166667,0.124279093,0.001101815
614.65,0.12666857,0.001227823
616.9833333,0.129855027,0.001354479
619.3166667,0.133838462,0.001481775
621.65,0.137821897,0.001609701
623.9833333,0.141008353,0.001738205
626.3166667,0.14419481,0.00186718
628.65,0.148178245,0.001996506
630.9833333,0.15216168,0.002126037
633.3166667,0.155348136,0.002255606
635.65,0.158534593,0.002385061
637.9833333,0.164907505,0.002514567
640.15,0.172874376,0.002629766
642.4833333,0.182435204,0.002752872
644.8166667,0.191197594,0.002875252
647.15,0.199961443,0.002997991
649.4833333,0.208723833,0.003123105
651.8166667,0.217487683,0.00325329
654.15,0.227047052,0.003389188
656.4833333,0.235013922,0.003525274
658.8166667,0.244573291,0.003651209
661.15,0.252540161,0.003758535
663.4833333,0.26210099,0.003842518
665.8166667,0.271660359,0.003902717
668.15,0.281219728,0.003943348
670.4833333,0.290780556,0.003978182
672.8166667,0.300339925,0.003985532
675.15,0.310696273,0.00399645
677.4833333,0.320257101,0.004002535
679.8166667,0.32981647,0.003981218
682.15,0.339375839,0.003950316
684.4833333,0.348936667,0.003912937
686.8166667,0.358496036,0.003871519
689.15,0.368056865,0.003827993
691.4833333,0.376819254,0.003781858
693.8166667,0.384786125,0.003732128
696.15,0.391956016,0.00367744
698.4833333,0.399922887,0.003617275
700.8166667,0.407092779,0.003551069
703.15,0.415059649,0.003478664
705.3166667,0.42302506,0.003406422
707.65,0.43099193,0.003324513
709.9833333,0.438958801,0.003240639
712.3166667,0.446925671,0.003156834
714.65,0.454892542,0.003074611
716.9833333,0.462062433,0.002993823
719.3166667,0.469232325,0.002913058
721.65,0.474808259,0.002830067
723.9833333,0.479588673,0.002743741
726.3166667,0.485164606,0.002653887
728.65,0.490742,0.00255987
730.9833333,0.495522414,0.002462582
733.3166667,0.501098347,0.002365016
735.65,0.506675741,0.002270748
737.9833333,0.511454695,0.002181996
740.3166667,0.517032088,0.002100237
742.65,0.521811043,0.002026054
744.9833333,0.527388436,0.001959028
747.3166667,0.531371871,0.001897677
749.65,0.535355307,0.001839959
751.9833333,0.539338742,0.001784358
754.3166667,0.542525198,0.001730953
756.65,0.545711655,0.001680181
758.9833333,0.54969509,0.001632775
761.3166667,0.553678525,0.001589721
763.65,0.556864981,0.001552284
765.9833333,0.560051438,0.001520681
768.3166667,0.563237894,0.001494363
770.4833333,0.567221329,0.00147393
772.8166667,0.570407785,0.00145501
775.15,0.573594242,0.001437573
777.4833333,0.576780698,0.001420744
779.8166667,0.580764133,0.001404691
782.15,0.583950589,0.001389641
