T(K),a,da/dT
303.15,0.086233235,
377.15,0.086233235,0
379.48,0.086233235,0
381.98,0.086233235,0
384.32,0.086233235,0
386.65,0.086233235,0
388.98,0.086233235,0
391.32,0.086233235,0
393.65,0.086233235,0
395.98,0.086233235,0
398.32,0.086233235,0
400.65,0.086233235,0
402.98,0.086233235,0
405.48,0.086233235,0
407.82,0.086233235,0
410.15,0.086233235,0
412.48,0.086233235,0
414.82,0.086233235,0
417.15,0.086233235,0
419.48,0.086233235,0
421.82,0.086233235,0
424.15,0.086233235,0
426.48,0.086233235,0
428.82,0.086233235,0
454.82,0.086233235,0
457.15,0.086233235,0
459.48,0.086233235,0
461.82,0.086233235,0
464.15,0.086233235,0
466.48,0.086233235,0
471.15,0.086233235,0
473.48,0.086233235,0
475.82,0.086233235,0
478.32,0.086233235,1.44E-09
480.65,0.086233235,1.22E-05
482.98,0.086233235,3.15E-05
485.32,0.086233235,6.02E-05
492.32,0.087641509,0.000131999
499.32,0.089050921,0.000206509
506.48,0.090459195,0.000301991
508.82,0.091163901,0.000341238
511.15,0.092572175,0.000368036
513.48,0.09398045,0.000405084
515.82,0.095389861,0.00044118
520.48,0.097502842,0.000543868
522.82,0.098911116,0.000590991
525.15,0.100319391,0.000653547
527.65,0.101728802,0.000721299
529.98,0.103137077,0.000788741
532.32,0.105250057,0.000857598
534.65,0.107363037,0.000922514
536.98,0.110180723,0.00098434
539.32,0.112997272,0.001035547
541.65,0.116050239,0.001074035
543.98,0.118866788,0.001109942
546.32,0.121684474,0.001149869
548.65,0.122623323,0.00118775
551.15,0.125441009,0.001214112
553.48,0.128258695,0.001246804
555.82,0.132015231,0.001286866
558.15,0.13483178,0.001328977
560.48,0.138354171,0.001369986
562.82,0.141875426,0.001412931
565.15,0.144693112,0.001446786
567.48,0.148214367,0.00142977
569.82,0.151735622,0.001411997
572.15,0.154553308,0.001390153
574.48,0.158779268,0.001362984
576.98,0.161596954,0.001327656
579.32,0.165118209,0.001291014
581.65,0.167935895,0.00125204
583.98,0.170752444,0.001227757
586.32,0.173335985,0.00119243
588.65,0.177091384,0.001173297
590.98,0.17990907,0.001145732
593.32,0.182726756,0.001118695
595.65,0.185543305,0.001086966
597.98,0.189299841,0.001058464
600.48,0.191882246,0.001021737
602.82,0.194699932,0.000971083
605.15,0.196812912,0.000920744
607.48,0.198221187,0.000873844
609.82,0.201038872,0.000830647
612.15,0.202448284,0.000791117
614.48,0.205264833,0.000753882
616.82,0.206674244,0.000716329
619.15,0.209490793,0.000654601
621.48,0.210900205,0.000609297
623.82,0.213716754,0.000595004
626.32,0.215126165,0.000596205
628.65,0.21653444,0.00059742
630.98,0.217942714,0.00059872
633.32,0.219352125,0.000600159
635.65,0.2207604,0.000601716
637.98,0.222168675,0.00060337
640.32,0.223578086,0.000605094
642.65,0.225691066,0.000713995
644.98,0.226394635,0.001258352
647.32,0.230620596,0.001789137
649.82,0.236725392,0.002337254
652.15,0.247798363,0.002836107
654.48,0.257659695,0.003352953
656.82,0.267527847,0.003751755
659.15,0.277388043,0.004058919
661.48,0.287084565,0.004244407
663.82,0.29694476,0.004311932
666.15,0.306806092,0.004381123
668.48,0.318231416,0.004482614
670.82,0.328092748,0.004776887
