T,a,da/dT
296.4161407,0,
296.5375467,0.001133692,0.009338027
296.7851513,0.002247681,0.004499062
297.190002,0.00336709,0.002764991
297.7510727,0.004472673,0.001970488
298.4804353,0.005580306,0.001518632
299.3676307,0.006685197,0.001245375
300.3921667,0.007819956,0.001107584
301.5506553,0.008991118,0.00101094
302.808224,0.010176593,0.000942671
304.1471153,0.011393153,0.000908632
305.5424453,0.012635229,0.000890167
306.9722687,0.013916806,0.000896319
308.416194,0.015228645,0.000908523
309.8648547,0.016564522,0.000922146
311.294488,0.01793332,0.000957446
312.7018733,0.019311103,0.000978967
314.083986,0.020716583,0.001016907
315.43481,0.022131153,0.00104719
316.7529207,0.023544356,0.001072143
318.041026,0.024903222,0.001054934
319.2887067,0.025911504,0.000808125
320.5142713,0.027285562,0.001121163
321.719744,0.028676393,0.001153765
322.902848,0.030039275,0.001151954
324.0713833,0.031385233,0.001151833
325.229934,0.03270867,0.001142321
326.3879033,0.034009529,0.001123397
327.54718,0.035272198,0.001089187
328.7058253,0.036534615,0.001089562
329.8720047,0.037735159,0.001029468
331.0506727,0.038916655,0.001002399
332.243972,0.040057827,0.000956316
333.4451,0.04117877,0.000933242
334.6598667,0.042263714,0.000893129
335.8861273,0.043317038,0.000858973
337.1267467,0.044331255,0.000817508
338.37383,0.045315574,0.000789297
339.6353053,0.046262545,0.000750686
340.907314,0.047183242,0.000723813
342.1816407,0.048071992,0.000697427
343.4647193,0.048931828,0.000670135
344.748398,0.049756038,0.000642069
346.0334887,0.050543228,0.000612556
347.319692,0.051296055,0.00058531
348.6089073,0.05203737,0.000575012
349.893164,0.052725536,0.000535848
351.1718893,0.053397949,0.000525846
352.451162,0.054040811,0.000502521
353.7248153,0.054655685,0.000482764
354.9950807,0.055239211,0.000459374
356.2632927,0.055802735,0.000444345
357.526862,0.056347004,0.000430739
358.7867533,0.056855254,0.000403408
360.0476667,0.057345392,0.000388717
361.3042427,0.057813711,0.000372694
362.5617293,0.058269599,0.000362539
363.815236,0.058688476,0.000334164
365.0704233,0.059098498,0.000326662
366.318596,0.059488274,0.000312277
367.570614,0.05985888,0.000296007
368.8243087,0.060218412,0.000286778
370.074978,0.060555592,0.000269599
371.3302827,0.060888785,0.000265427
372.5840707,0.061204941,0.000252161
373.8411533,0.061496639,0.000232043
375.0946467,0.061779332,0.000225524
376.3500667,0.062064589,0.000227221
377.6091467,0.062342059,0.000220375
378.8668067,0.06259771,0.000203275
380.1290933,0.062865951,0.000212504
381.38812,0.063105286,0.000190096
382.64662,0.063360825,0.00020305
383.9043933,0.063600404,0.000190479
385.16318,0.063827515,0.000180421
386.4218867,0.064058164,0.000183243
387.6808333,0.064278395,0.000174933
388.94156,0.06447648,0.000157119
390.1997133,0.064673816,0.000156845
391.4552667,0.064858047,0.000146733
392.7105067,0.065027657,0.000135122
393.9692467,0.065199514,0.000136531
395.2288733,0.065348859,0.000118563
396.4893133,0.065493037,0.000114387
397.7456467,0.065611417,9.42272E-05
399.0057533,0.065753929,0.000113095
400.2642267,0.065876569,9.74512E-05
401.5218067,0.065999181,9.74981E-05
402.7766933,0.066112207,9.00692E-05
404.0285133,0.066216435,8.32611E-05
405.2846467,0.066312211,7.62463E-05
406.53692,0.066402838,7.23702E-05
407.79246,0.066489506,6.90283E-05
409.04886,0.06657886,7.11193E-05
410.30374,0.066651983,5.82712E-05
411.5629,0.066734196,6.52914E-05
412.8167733,0.066805971,5.7243E-05
414.06856,0.066873937,5.4295E-05
415.32456,0.066935828,4.92762E-05
416.5805467,0.06700033,5.1356E-05
417.8398067,0.067052393,4.13437E-05
419.0974333,0.067107647,4.39354E-05
420.35464,0.067159634,4.13517E-05
421.6068733,0.067201588,3.35027E-05
422.8625933,0.067257479,4.4509E-05
424.1196733,0.067301201,3.47809E-05
425.3741267,0.067329301,2.24001E-05
426.6281067,0.067364777,2.82906E-05
427.88474,0.067222433,-0.000113274
429.1447533,0.067178449,-3.49079E-05
430.4019667,0.067211837,2.65575E-05
431.6592267,0.067252574,3.24009E-05
432.9171333,0.067276012,1.86329E-05
434.1725,0.06729111,1.2027E-05
435.4290933,0.067328786,2.99823E-05
436.68634,0.067342228,1.06912E-05
437.9441,0.067375438,2.64046E-05
