,time (min),,T(°C),T(K),a,da/dT
0:10:12,10.20,81.2292,132,405.15,0,
0:10:26,10.43,81.2292,134.3333333,407.4833333,0,0
0:10:40,10.67,81.2292,136.6666667,409.8166667,0,0
0:10:54,10.90,81.2292,139,412.15,0,0
0:11:08,11.13,81.2292,141.3333333,414.4833333,0,0
0:11:22,11.37,81.2292,143.6666667,416.8166667,0,0
0:11:36,11.60,81.2292,146,419.15,0,0
0:11:50,11.83,81.2292,148.3333333,421.4833333,0,0
0:12:04,12.07,81.2292,150.6666667,423.8166667,0,0
0:12:18,12.30,81.2292,153,426.15,0,0
0:12:32,12.53,81.2292,155.3333333,428.4833333,0,0
0:12:46,12.77,81.2292,157.6666667,430.8166667,0,0
0:13:00,13.00,81.2292,160,433.15,0,0
0:13:14,13.23,81.2292,162.3333333,435.4833333,0,0
0:16:15,16.25,81.2292,192.5,465.65,0,0
0:16:29,16.48,81.2292,194.8333333,467.9833333,0,0
0:16:43,16.72,81.2292,197.1666667,470.3166667,0,0
0:16:57,16.95,81.2292,199.5,472.65,0,0
0:17:39,17.65,81.1201,206.5,479.65,0.001343394,0.000191913
0:18:35,18.58,81.0109,215.8333333,488.9833333,0.00268802,0.000144067
0:19:31,19.52,80.9018,225.1666667,498.3166667,0.004031414,0.000143935
0:19:59,19.98,80.7926,229.8333333,502.9833333,0.00537604,0.000288134
0:20:13,20.22,80.6835,232.1666667,505.3166667,0.006719434,0.00057574
0:20:27,20.45,80.5743,234.5,507.65,0.008064059,0.000576268
0:20:54,20.90,80.4651,239,512.15,0.009408685,0.000298806
0:21:08,21.13,80.356,241.3333333,514.4833333,0.010752079,0.00057574
0:21:36,21.60,80.2468,246,519.15,0.012096705,0.000288134
0:21:50,21.83,80.0831,248.3333333,521.4833333,0.014112412,0.000863874
0:22:04,22.07,79.9739,250.6666667,523.8166667,0.015457037,0.000576268
0:22:18,22.30,79.7556,253,526.15,0.018145057,0.001152008
0:22:32,22.53,79.5919,255.3333333,528.4833333,0.020160764,0.000863874
0:22:46,22.77,79.4282,257.6666667,530.8166667,0.022176471,0.000863874
0:23:00,23.00,79.2644,260,533.15,0.024193409,0.000864402
0:23:14,23.23,79.1007,262.3333333,535.4833333,0.026209116,0.000863874
0:23:28,23.47,78.937,264.6666667,537.8166667,0.028224823,0.000863874
0:23:42,23.70,78.7732,267,540.15,0.030241762,0.000864402
0:23:56,23.93,78.5549,269.3333333,542.4833333,0.032929781,0.001152008
0:24:10,24.17,78.3912,271.6666667,544.8166667,0.034945488,0.000863874
0:24:24,24.40,78.1729,274,547.15,0.037633508,0.001152008
0:24:38,24.63,77.9,276.3333333,549.4833333,0.040993841,0.001440143
0:24:52,24.87,77.6817,278.6666667,551.8166667,0.043681861,0.001152008
0:25:06,25.10,77.4633,281,554.15,0.046371112,0.001152536
0:25:20,25.33,77.245,283.3333333,556.4833333,0.049059132,0.001152008
0:25:34,25.57,77.0267,285.6666667,558.8166667,0.051747151,0.001152008
0:25:48,25.80,76.8084,288,561.15,0.054435171,0.001152008
