T(K),a,da/dT
301.15,0.00557341,2.79E-03
303.15,0.011045116,2.74E-03
305.15,0.016679549,2.82E-03
307.15,0.022517391,2.92E-03
309.15,0.0282637,2.87E-03
311.15,0.033938815,2.84E-03
313.15,0.039583418,2.82E-03
315.15,0.044688987,2.55E-03
317.15,0.049570807,2.44E-03
319.15,0.05388308,2.16E-03
321.15,0.057788536,1.95E-03
323.15,0.061277003,1.74E-03
325.15,0.064358651,1.54E-03
327.15,0.066972458,1.31E-03
329.15,0.069372686,1.20E-03
331.15,0.071264391,9.46E-04
333.15,0.073003539,8.70E-04
335.15,0.074457915,7.27E-04
337.15,0.075759733,6.51E-04
339.15,0.076908995,5.75E-04
341.15,0.07769212,3.92E-04
343.15,0.078668484,4.88E-04
345.15,0.079329563,3.31E-04
347.15,0.080041495,3.56E-04
349.15,0.080468655,2.14E-04
351.15,0.081007689,2.70E-04
353.15,0.081414507,2.03E-04
355.15,0.081760303,1.73E-04
357.15,0.081994223,1.17E-04
359.15,0.082116269,6.10E-05
361.15,0.082624792,2.54E-04
363.15,0.082777348,7.63E-05
365.15,0.083021439,1.22E-04
367.15,0.083194337,8.64E-05
369.15,0.083285871,4.58E-05
371.15,0.083458769,8.64E-05
373.15,0.083580814,5.24E-05
375.15,0.083631667,4.65E-05
377.15,0.083743542,4.42E-05
379.15,0.083845246,5.61E-05
381.15,0.08393678,3.75E-05
383.15,0.083967292,2.53E-05
385.15,0.084028315,3.18E-05
387.15,0.084119849,3.18E-05
389.15,0.084119849,6.55E-06
391.15,0.084109678,1.10E-05
393.15,0.084221553,3.19E-05
395.15,0.084262235,3.12E-05
397.15,0.084272406,3.33E-06
399.15,0.084272406,-4.15E-07
401.15,0.084302917,3.53E-05
403.15,0.084435133,8.15E-06
405.15,0.084302917,1.76E-05
407.15,0.084455474,-1.72E-06
409.15,0.084404621,2.82E-05
411.15,0.084445303,-1.58E-05
413.15,0.084404621,1.15E-05
415.15,0.084485985,1.98E-05
417.15,0.084526667,1.51E-05
419.15,0.084485985,7.13E-06
421.15,0.084567349,1.37E-05
423.15,0.084577519,9.00E-06
425.15,0.084557178,2.03E-05
427.15,0.084689394,7.23E-06
429.15,0.08458769,1.15E-05
431.15,0.084669053,-1.59E-06
433.15,0.084699565,4.06E-05
435.15,0.084780928,1.50E-05
437.15,0.084760587,1.73E-05
439.15,0.084831781,1.73E-05
441.15,0.084892803,3.79E-05
443.15,0.084974167,4.11E-05
445.15,0.085065701,3.75E-05
447.15,0.085106383,3.12E-05
449.15,0.085177576,2.82E-05
451.15,0.085248769,3.95E-05
453.15,0.085350474,5.31E-05
455.15,0.08548269,5.31E-05
457.15,0.085564054,6.33E-05
459.15,0.085736951,6.03E-05
461.15,0.085838656,7.31E-05
463.15,0.086011554,7.47E-05
465.15,0.086184451,8.82E-05
467.15,0.086347179,7.44E-05
469.15,0.086509906,1.11E-04
471.15,0.086865872,1.32E-04
473.15,0.087099793,1.60E-04
475.15,0.087465929,1.54E-04
477.15,0.087791384,1.75E-04
479.15,0.08815752,1.87E-04
481.15,0.088625361,2.28E-04
483.15,0.089144054,2.53E-04
485.15,0.089683089,2.86E-04
487.15,0.09037468,3.29E-04
489.15,0.091127293,3.96E-04
491.15,0.092022294,4.14E-04
493.15,0.092866442,4.68E-04
495.15,0.093964851,5.11E-04
497.15,0.09506326,5.61E-04
499.15,0.096243033,6.03E-04
501.15,0.097646556,6.93E-04
503.15,0.099182295,7.49E-04
505.15,0.100728205,8.16E-04
507.15,0.102569057,8.70E-04
509.15,0.10439974,9.56E-04
511.15,0.106494854,1.02E-03
513.15,0.108783207,1.17E-03
515.15,0.111397014,1.26E-03
517.15,0.114051503,1.38E-03
519.15,0.117133152,1.51E-03
521.15,0.120509743,1.70E-03
523.15,0.124252471,1.87E-03
525.15,0.128402018,2.08E-03
527.15,0.133029576,2.29E-03
529.15,0.13802327,2.54E-03
531.15,0.143708555,2.80E-03
533.15,0.14983117,3.09E-03
535.15,0.156584354,3.36E-03
537.15,0.163927424,3.69E-03
539.15,0.171992596,4.02E-03
541.15,0.180678166,4.32E-03
543.15,0.189831577,4.63E-03
545.15,0.199829136,4.95E-03
547.15,0.2103759,5.31E-03
549.15,0.221624425,5.56E-03
551.15,0.233228917,5.87E-03
553.15,0.245657215,6.16E-03
555.15,0.258553354,6.48E-03
557.15,0.271998698,6.68E-03
559.15,0.285657622,6.88E-03
561.15,0.29987592,7.09E-03
563.15,0.314490867,7.28E-03
565.15,0.329227859,7.41E-03
567.15,0.344330987,7.52E-03
569.15,0.359576502,7.63E-03
571.15,0.375045767,7.74E-03
573.15,0.390840487,7.86E-03
575.15,0.406828445,8.03E-03
577.15,0.423446971,8.29E-03
