T(K),a,da/dT
299.15,0,
301.15,0.002508498,0.001254249
303.15,0.004972466,0.001231984
305.15,0.007673925,0.00135073
307.15,0.010672248,0.001499161
309.15,0.013922905,0.001625328
311.15,0.017425895,0.001751495
313.15,0.021121848,0.001847976
315.15,0.024966232,0.001922192
317.15,0.028899675,0.001966722
319.15,0.032877648,0.001988986
321.15,0.036811091,0.001966722
323.15,0.040714848,0.001951878
325.15,0.044514702,0.001899927
327.15,0.048166125,0.001825711
329.15,0.051683959,0.001758917
331.15,0.055023675,0.001669858
333.15,0.058155586,0.001565956
335.15,0.061094536,0.001469475
337.15,0.063840525,0.001372994
339.15,0.066378709,0.001269092
341.15,0.068709088,0.00116519
343.15,0.07086135,0.001076131
345.15,0.07282065,0.00097965
347.15,0.074601832,0.000890591
349.15,0.076234582,0.000816375
351.15,0.077704057,0.000734737
353.15,0.079039943,0.000667943
355.15,0.080242241,0.000601149
357.15,0.081325793,0.000541776
359.15,0.082305443,0.000489825
361.15,0.083181191,0.000437874
363.15,0.083967879,0.000393344
365.15,0.084680352,0.000356236
367.15,0.085318609,0.000319128
369.15,0.08588265,0.00028202
371.15,0.086402161,0.000259756
373.15,0.086877143,0.000237491
375.15,0.087292752,0.000207805
377.15,0.087693518,0.000200383
379.15,0.088049754,0.000178118
381.15,0.088361461,0.000155853
383.15,0.088673168,0.000155853
385.15,0.088970032,0.000148432
387.15,0.089281738,0.000155853
389.15,0.089578602,0.000148432
391.15,0.089890309,0.000155853
393.15,0.090216859,0.000163275
395.15,0.090528566,0.000155853
397.15,0.090810586,0.00014101
399.15,0.091092607,0.00014101
401.15,0.091330098,0.000118745
403.15,0.091552745,0.000111324
405.15,0.091745707,9.64807E-05
407.15,0.091923825,8.90591E-05
409.15,0.092101943,8.90591E-05
411.15,0.092265218,8.16375E-05
413.15,0.09241365,7.42159E-05
415.15,0.092576925,8.16375E-05
417.15,0.092725357,7.42159E-05
419.15,0.092858945,6.67943E-05
421.15,0.092992534,6.67943E-05
423.15,0.093140966,7.42159E-05
425.15,0.093274554,6.67943E-05
427.15,0.093422986,7.42159E-05
429.15,0.093571418,7.42159E-05
431.15,0.093734693,8.16375E-05
433.15,0.093883125,7.42159E-05
435.15,0.094061243,8.90591E-05
437.15,0.094239361,8.90591E-05
439.15,0.094417479,8.90591E-05
441.15,0.094610441,9.64807E-05
443.15,0.094833088,0.000111324
445.15,0.095055736,0.000111324
447.15,0.095278384,0.000111324
449.15,0.095545561,0.000133589
451.15,0.095812738,0.000133589
453.15,0.096109602,0.000148432
455.15,0.096421309,0.000155853
457.15,0.096762702,0.000170697
459.15,0.097133782,0.00018554
461.15,0.097534548,0.000200383
463.15,0.097950157,0.000207805
465.15,0.098410295,0.000230069
467.15,0.098885277,0.000237491
469.15,0.099419632,0.000267177
471.15,0.099983673,0.00028202
473.15,0.100607086,0.000311707
475.15,0.101245343,0.000319128
477.15,0.101957816,0.000356236
479.15,0.102714818,0.000378501
481.15,0.103531193,0.000408187
483.15,0.104421784,0.000445295
485.15,0.105371747,0.000474982
487.15,0.106395927,0.00051209
489.15,0.107509166,0.000556619
491.15,0.108711463,0.000601149
493.15,0.11000282,0.000645678
495.15,0.111427766,0.000712473
497.15,0.112956613,0.000764424
499.15,0.114604207,0.000823797
501.15,0.116415075,0.000905434
503.15,0.118374375,0.00097965
505.15,0.12049695,0.001061287
507.15,0.122797643,0.001150347
509.15,0.125320984,0.00126167
511.15,0.128052129,0.001365573
513.15,0.131020766,0.001484318
515.15,0.134271422,0.001625328
517.15,0.137789257,0.001758917
519.15,0.141648484,0.001929614
521.15,0.145849104,0.00210031
523.15,0.150435647,0.002293272
525.15,0.155452643,0.002508498
527.15,0.16094462,0.002745989
529.15,0.166941266,0.002998323
531.15,0.173546481,0.003302608
533.15,0.180745425,0.003599472
535.15,0.188641997,0.003948286
537.15,0.197280729,0.004319366
539.15,0.20670615,0.00471271
541.15,0.216977631,0.005135741
543.15,0.228080331,0.00555135
545.15,0.240058779,0.005989224
547.15,0.252883288,0.006412255
549.15,0.266509329,0.00681302
551.15,0.280877529,0.0071841
553.15,0.295883986,0.007503228
555.15,0.31148417,0.007800092
557.15,0.327559336,0.008037583
559.15,0.344005581,0.008223123
561.15,0.360733847,0.008364133
563.15,0.377684761,0.008475457
565.15,0.394769263,0.008542251
567.15,0.411927981,0.008579359
569.15,0.429131229,0.008601624
571.15,0.446408692,0.008638732
573.15,0.463775215,0.008683261
575.15,0.481364385,0.008794585
577.15,0.499220733,0.008928174
579.15,0.517403631,0.009091449
581.15,0.536002137,0.009299253
583.15,0.554912351,0.009455107
585.15,0.573733506,0.009410577
587.15,0.59190156,0.009084027
589.15,0.608897003,0.008497722
591.15,0.624437814,0.007770406
593.15,0.638301346,0.006931766
595.15,0.65035401,0.006026332
597.15,0.660521589,0.00508379
599.15,0.669412655,0.004445533
601.15,0.677383444,0.003985394
603.15,0.684701133,0.003658844
605.15,0.691484467,0.003391667
607.15,0.697644387,0.00307996
609.15,0.703329326,0.002842469
611.15,0.708717401,0.002694037
613.15,0.713867985,0.002575292
615.15,0.718825607,0.002478811
617.15,0.723649642,0.002412017
619.15,0.728325244,0.002337801
621.15,0.732911787,0.002293272
623.15,0.737424114,0.002256164
625.15,0.741877069,0.002226477
627.15,0.746300337,0.002211634
629.15,0.750693919,0.002196791
631.15,0.755102344,0.002204212
633.15,0.759495926,0.002196791
635.15,0.763904351,0.002204212
637.15,0.768342462,0.002219056
639.15,0.772795416,0.002226477
641.15,0.777292901,0.002248742
643.15,0.781820071,0.002263585
645.15,0.786376928,0.002278428
647.15,0.791022844,0.002322958
649.15,0.795713289,0.002345223
651.15,0.80047795,0.002382331
653.15,0.805301985,0.002412017
655.15,0.810170548,0.002434282
657.15,0.815083641,0.002456547
659.15,0.82007095,0.002493655
661.15,0.825073103,0.002501076
663.15,0.830134628,0.002530762
665.15,0.835225839,0.002545606
667.15,0.84031705,0.002545606
669.15,0.845423105,0.002553027
671.15,0.850499473,0.002538184
673.15,0.855560998,0.002530762
675.15,0.860548307,0.002493655
677.15,0.865476243,0.002463968
679.15,0.870344807,0.002434282
681.15,0.875124312,0.002389752
683.15,0.8798296,0.002352644
685.15,0.884475516,0.002322958
687.15,0.889121432,0.002322958
689.15,0.893737662,0.002308115
691.15,0.898339048,0.002300693
693.15,0.902940434,0.002300693
695.15,0.907571507,0.002315536
697.15,0.91220258,0.002315536
699.15,0.916833652,0.002315536
701.15,0.921494412,0.00233038
703.15,0.926155171,0.00233038
705.15,0.93081593,0.00233038
707.15,0.935432159,0.002308115
709.15,0.940003859,0.00228585
711.15,0.94453103,0.002263585
713.15,0.948954298,0.002211634
715.15,0.953199448,0.002122575
717.15,0.957132891,0.001966722
719.15,0.960739784,0.001803447
721.15,0.964034971,0.001647593
723.15,0.966988764,0.001476897
725.15,0.96967538,0.001343308
727.15,0.972094818,0.001209719
729.15,0.974291609,0.001098395
731.15,0.976280596,0.000994493
733.15,0.978091464,0.000905434
735.15,0.979739057,0.000823797
737.15,0.981238218,0.000749581
739.15,0.982618634,0.000690208
741.15,0.983850618,0.000615992
743.15,0.984949014,0.000549198
745.15,0.98595835,0.000504668
747.15,0.986863784,0.000452717
749.15,0.987680159,0.000408187
751.15,0.988452005,0.000385923
753.15,0.989119948,0.000333972
755.15,0.989743361,0.000311707
757.15,0.990277716,0.000267177
759.15,0.990752698,0.000237491
761.15,0.99118315,0.000215226
763.15,0.991583916,0.000200383
765.15,0.991925309,0.000170697
767.15,0.992251859,0.000163275
769.15,0.992548723,0.000148432
771.15,0.992830743,0.00014101
773.15,0.993083077,0.000126167
775.15,0.993320568,0.000118745
777.15,0.993543216,0.000111324
779.15,0.993736177,9.64807E-05
781.15,0.993914295,8.90591E-05
783.15,0.99407757,8.16375E-05
785.15,0.994226002,7.42159E-05
787.15,0.994374434,7.42159E-05
789.15,0.994508023,6.67943E-05
791.15,0.994626768,5.93727E-05
793.15,0.994745514,5.93727E-05
795.15,0.994864259,5.93727E-05
797.15,0.994968161,5.19511E-05
799.15,0.995086907,5.93727E-05
801.15,0.995190809,5.19511E-05
803.15,0.995294711,5.19511E-05
805.15,0.99538377,4.45295E-05
807.15,0.99547283,4.45295E-05
809.15,0.995576732,5.19511E-05
811.15,0.995665791,4.45295E-05
813.15,0.995740007,3.7108E-05
815.15,0.995829066,4.45295E-05
817.15,0.995903282,3.7108E-05
819.15,0.995977498,3.7108E-05
821.15,0.996051714,3.7108E-05
823.15,0.99612593,3.7108E-05
825.15,0.996200145,3.7108E-05
827.15,0.996274361,3.7108E-05
829.15,0.996333734,2.96864E-05
831.15,0.99640795,3.7108E-05
833.15,0.996482166,3.7108E-05
835.15,0.996541539,2.96864E-05
837.15,0.996615755,3.7108E-05
839.15,0.99668997,3.7108E-05
841.15,0.99677903,4.45295E-05
843.15,0.996882932,5.19511E-05
845.15,0.996986834,5.19511E-05
847.15,0.99710558,5.93727E-05
849.15,0.997254011,7.42159E-05
851.15,0.997402443,7.42159E-05
853.15,0.997565718,8.16375E-05
855.15,0.99775868,9.64807E-05
857.15,0.997951641,9.64807E-05
859.15,0.998159445,0.000103902
861.15,0.998382093,0.000111324
863.15,0.998619584,0.000118745
865.15,0.998842232,0.000111324
867.15,0.99906488,0.000111324
869.15,0.999272684,0.000103902
871.15,0.999465645,9.64807E-05
873.15,0.999614077,7.42159E-05
875.15,0.999747666,6.67943E-05
877.15,0.999836725,4.45295E-05
879.15,0.999896098,2.96864E-05
881.15,0.999925784,1.48432E-05
883.15,0.999940627,7.42159E-06
885.15,0.999970314,1.48432E-05
