T(K),a,da/dT
299.15,0,
301.15,0.00557341,0.002786705
303.15,0.011045116,0.002735853
305.15,0.016679549,0.002817217
307.15,0.022517391,0.002918921
309.15,0.0282637,0.002873154
311.15,0.033938815,0.002837557
313.15,0.039583418,0.002822302
315.15,0.044688987,0.002552785
317.15,0.049570807,0.00244091
319.15,0.05388308,0.002156137
321.15,0.057788536,0.001952728
323.15,0.061277003,0.001744233
325.15,0.064358651,0.001540824
327.15,0.066972458,0.001306904
329.15,0.069372686,0.001200114
331.15,0.071264391,0.000945852
333.15,0.073003539,0.000869574
335.15,0.074457915,0.000727188
337.15,0.075759733,0.000650909
339.15,0.076908995,0.000574631
341.15,0.07769212,0.000391563
343.15,0.078668484,0.000488182
345.15,0.079329563,0.00033054
347.15,0.080041495,0.000355966
349.15,0.080468655,0.00021358
351.15,0.081007689,0.000269517
353.15,0.081414507,0.000203409
355.15,0.081760303,0.000172898
357.15,0.081994223,0.00011696
359.15,0.082116269,6.10227E-05
361.15,0.082624792,0.000254261
363.15,0.082777348,7.62784E-05
365.15,0.083021439,0.000122045
367.15,0.083194337,8.64489E-05
369.15,0.083285871,4.57671E-05
371.15,0.083458769,8.64489E-05
373.15,0.083580814,6.10227E-05
375.15,0.083631667,2.54261E-05
377.15,0.083743542,5.59375E-05
379.15,0.083845246,5.08523E-05
381.15,0.08393678,4.57671E-05
383.15,0.083967292,1.52557E-05
385.15,0.084028315,3.05114E-05
387.15,0.084119849,4.57671E-05
389.15,0.084119849,0
391.15,0.084109678,-5.08523E-06
393.15,0.084221553,5.59375E-05
395.15,0.084262235,2.03409E-05
397.15,0.084272406,5.08523E-06
399.15,0.084272406,0
401.15,0.084302917,1.52557E-05
403.15,0.084435133,6.6108E-05
405.15,0.084302917,-6.6108E-05
407.15,0.084455474,7.62784E-05
409.15,0.084404621,-2.54261E-05
411.15,0.084445303,2.03409E-05
413.15,0.084404621,-2.03409E-05
415.15,0.084485985,4.06818E-05
417.15,0.084526667,2.03409E-05
419.15,0.084485985,-2.03409E-05
421.15,0.084567349,4.06818E-05
423.15,0.084577519,5.08523E-06
425.15,0.084557178,-1.01705E-05
427.15,0.084689394,6.6108E-05
429.15,0.08458769,-5.08523E-05
431.15,0.084669053,4.06818E-05
433.15,0.084699565,1.52557E-05
435.15,0.084780928,4.06818E-05
437.15,0.084760587,-1.01705E-05
439.15,0.084831781,3.55966E-05
441.15,0.084892803,3.05114E-05
443.15,0.084974167,4.06818E-05
445.15,0.085065701,4.57671E-05
447.15,0.085106383,2.03409E-05
