T(K),a,da/dT
299.15,0,
301.15,0.00227704,0.00113852
303.15,0.004575766,0.001149363
305.15,0.007123882,0.001274058
307.15,0.009910545,0.001393332
309.15,0.013011656,0.001550556
311.15,0.016351315,0.001669829
313.15,0.019918677,0.001783681
315.15,0.023659528,0.001870426
317.15,0.027541339,0.001940905
319.15,0.031499051,0.001978856
321.15,0.035489292,0.001995121
323.15,0.039457848,0.001984278
325.15,0.043339658,0.001940905
327.15,0.047091353,0.001875847
329.15,0.050691244,0.001799946
331.15,0.054106804,0.00170778
333.15,0.057305503,0.001599349
335.15,0.060265655,0.001480076
337.15,0.062976416,0.001355381
339.15,0.065426945,0.001225264
341.15,0.067638927,0.001105991
343.15,0.069612361,0.000986717
345.15,0.071358092,0.000872865
347.15,0.072897804,0.000769856
349.15,0.074231499,0.000666847
351.15,0.075402548,0.000585525
353.15,0.076410951,0.000504202
355.15,0.077267552,0.0004283
357.15,0.078015722,0.000374085
359.15,0.078644619,0.000314448
361.15,0.079186771,0.000271076
363.15,0.079642179,0.000227704
365.15,0.080043372,0.000200596
367.15,0.080357821,0.000157224
369.15,0.08063974,0.00014096
371.15,0.080878287,0.000119274
373.15,0.081095148,0.00010843
375.15,0.081268636,8.67E-05
377.15,0.081420439,7.59E-05
379.15,0.081550556,6.51E-05
381.15,0.081658986,5.42E-05
383.15,0.081745731,4.34E-05
385.15,0.081843318,4.88E-05
387.15,0.081930062,4.34E-05
389.15,0.081995121,3.25E-05
391.15,0.082060179,3.25E-05
393.15,0.082114394,2.71E-05
395.15,0.082168609,2.71E-05
397.15,0.082201139,1.63E-05
399.15,0.082255354,2.71E-05
401.15,0.082287883,1.63E-05
403.15,0.082309569,1.08E-05
405.15,0.082342098,1.63E-05
407.15,0.082374627,1.63E-05
409.15,0.08238547,5.42E-06
411.15,0.082428843,2.17E-05
413.15,0.082450529,1.08E-05
415.15,0.082461372,5.42E-06
417.15,0.082493901,1.63E-05
419.15,0.08252643,1.63E-05
421.15,0.082537273,5.42E-06
423.15,0.082569802,1.63E-05
425.15,0.082602331,1.63E-05
427.15,0.082613174,5.42E-06
429.15,0.08263486,1.08E-05
431.15,0.08266739,1.63E-05
433.15,0.082699919,1.63E-05
435.15,0.082732448,1.63E-05
437.15,0.08277582,2.17E-05
439.15,0.082797506,1.08E-05
441.15,0.082830035,1.63E-05
443.15,0.082862564,1.63E-05
445.15,0.08291678,2.71E-05
447.15,0.082960152,2.17E-05
449.15,0.083003524,2.17E-05
451.15,0.083057739,2.71E-05
453.15,0.083122798,3.25E-05
455.15,0.083187856,3.25E-05
457.15,0.083263757,3.80E-05
459.15,0.083339658,3.80E-05
461.15,0.08341556,3.80E-05
463.15,0.08352399,5.42E-05
465.15,0.083621578,4.88E-05
467.15,0.083751694,6.51E-05
469.15,0.083881811,6.51E-05
471.15,0.084044456,8.13E-05
473.15,0.084217945,8.67E-05
475.15,0.084423963,0.000103009
477.15,0.084640824,0.00010843
479.15,0.084890214,0.000124695
481.15,0.085182976,0.000146381
483.15,0.085519111,0.000168067
485.15,0.085898618,0.000189753
487.15,0.086321496,0.000211439
489.15,0.086809433,0.000243969
491.15,0.087362429,0.000276498
493.15,0.087991326,0.000314448
495.15,0.088674438,0.000341556
497.15,0.089444294,0.000384928
499.15,0.090300895,0.0004283
501.15,0.09124424,0.000471673
503.15,0.092296015,0.000525888
505.15,0.093445378,0.000574681
507.15,0.094681485,0.000618054
509.15,0.096058552,0.000688533
511.15,0.09754405,0.000742749
513.15,0.099213879,0.000834915
515.15,0.101024668,0.000905394
517.15,0.103030632,0.001002982
519.15,0.10523177,0.001100569
521.15,0.107671456,0.001219843
523.15,0.110371374,0.001349959
525.15,0.113374898,0.001501762
527.15,0.116714557,0.001669829
529.15,0.120412036,0.001848739
531.15,0.124510708,0.002049336
533.15,0.129053944,0.002271618
535.15,0.134074275,0.002510165
